id,B_U,Opt_T_U,dt_T_U,rf_T_U,Gap_dt_U,Gap_rf_U
6,1,37.0,0.91,0.6,0.4332885103839832,0.4183475272672942
6,10,3.08,1.11,0.57,2.371237200708292,2.7638771267996
6,50,4.55,1.9,0.5,10.676249025889687,11.585418650965453
6,100,5.66,0.88,0.51,20.55489260143198,21.3703261734288
6,500,13.12,0.88,0.42,156.11263736263737,139.49175824175825
6,1000,25.67,0.68,0.12,-,-
6,2000,22.81,0.47,0.12,-,-
6,2500,23.53,0.38,0.16,-,-
6,3000,22.8,0.25,0.15,-,-
7,1,146.08,2.65,1.49,0.1683617372182518,0.1649257833974711
7,10,4.45,3.27,1.29,1.4399776855758166,1.377218367560406
7,50,9.51,2.81,1.48,5.816349054521375,5.477889780001472
7,100,11.93,3.09,1.42,10.752604268268891,10.069837306386798
7,500,20.6,2.66,1.39,50.80748369797063,46.70607593393869
7,1000,28.67,2.06,1.25,111.50210682154652,109.38389705044985
7,2000,110.2,1.81,0.64,1009.3484419263456,540.3210576015109
7,2500,93.43,1.71,0.33,-,-
7,3000,122.28,1.45,0.32,-,-
8,1,124.88,2.67,1.44,0.1683617372182518,0.1649257833974711
8,10,8.31,2.77,1.5,1.4399776855758166,1.377218367560406
8,50,10.49,3.34,1.49,5.816349054521375,5.477889780001472
8,100,15.32,2.47,1.43,10.752604268268891,10.069837306386798
8,500,31.2,2.59,1.16,50.80748369797063,46.70607593393869
8,1000,55.55,2.63,1.06,111.50210682154652,109.38389705044985
8,2000,107.56,1.4,0.65,1009.3484419263456,540.3210576015109
8,2500,117.72,1.0,0.3,-,-
8,3000,108.67,1.24,0.3,-,-
