id,k,B_,Opt_,Opt_T_,ObjVal_dt_,dt_T_,ObjVal_rf_,rf_T_,Gap_dt_,Gap_rf_
6,1,5,13292,3.621999979019165,13337,3.359999895095825,13332,2.3269999027252197,0.33854950346072826,0.30093289196509176
6,1,100,12278,6.176000118255615,10134,4.361000061035156,10141,2.623000144958496,-17.462127382309824,-17.405114839550414
6,1,200,11630,6.0960001945495605,7687,5.615999937057495,7678,2.696000099182129,-33.903697334479794,-33.9810834049871
6,1,500,10242,6.82699990272522,2925,10.230000019073486,2935,5.950000047683716,-71.44112478031634,-71.34348760007812
6,1,1000,8640,7.348999977111816,4,22.83399987220764,0,9.776000022888184,-99.9537037037037,-100.0
6,1,2000,6494,7.963000059127808,0,18.389999866485596,0,10.6010000705719,-100.0,-100.0
6,1,3000,5031,8.35700011253357,0,8.384000062942505,0,5.968000173568726,-100.0,-100.0
6,1,4000,3933,5.582000017166138,0,10.957000017166138,0,6.336999893188477,-100.0,-100.0
6,1,5000,3058,6.461999893188477,0,10.388000011444092,0,6.338000059127808,-100.0,-100.0
6,1,7500,1481,7.79200005531311,0,6.36899995803833,0,4.206000089645386,-100.0,-100.0
6,1,10000,554,10.23200011253357,0,1.1399998664855957,0,0.6639997959136963,-100.0,-100.0
6,1,15000,0,7.5879998207092285,0,1.2860000133514404,0,0.5909998416900635,,
6,1,20000,0,10.507999897003174,0,0.9170000553131104,0,0.622999906539917,,
7,1,5,29014,8.510999917984009,29001,6.523000001907349,29049,3.927000045776367,-0.04480595574550217,0.12063141931481353
7,1,100,27646,11.608999967575073,25719,9.095999956130981,25703,4.228999853134155,-6.970266946393691,-7.028141503291615
7,1,200,26658,38.252999782562256,23035,9.652999877929688,22995,7.949000120162964,-13.590666966764198,-13.740715732613099
7,1,500,24531,11.601999998092651,16500,14.669000148773193,16511,13.330000162124634,-32.73816803228568,-32.69332681097387
7,1,1000,22058,18.09599995613098,8852,19.311000108718872,8864,26.125999927520752,-59.86943512557802,-59.81503309456886
7,1,2000,18701,15.299000024795532,1086,55.617000102996826,1067,50.32800006866455,-94.19282391315973,-94.29442275814127
7,1,3000,16292,13.505000114440918,0,73.69799995422363,0,53.76099991798401,-100.0,-100.0
7,1,4000,14330,13.604000091552734,0,71.59099984169006,0,38.78600001335144,-100.0,-100.0
7,1,5000,12683,16.358999967575073,0,50.38599991798401,0,33.75500011444092,-100.0,-100.0
7,1,7500,9456,17.203999996185303,0,47.47200012207031,0,25.153000116348267,-100.0,-100.0
7,1,10000,7041,22.424000024795532,0,19.15000009536743,0,24.198999881744385,-100.0,-100.0
7,1,15000,3703,26.425999879837036,0,2.570000171661377,0,2.3450000286102295,-100.0,-100.0
7,1,20000,1608,29.858999967575073,0,2.5230000019073486,0,1.9259998798370361,-100.0,-100.0
8,1,5,29014,6.818000078201294,29001,6.687999963760376,29049,5.039999961853027,-0.04480595574550217,0.12063141931481353
8,1,100,27646,10.562000036239624,25719,8.822999954223633,25703,5.286999940872192,-6.970266946393691,-7.028141503291615
8,1,200,26658,25.874000072479248,23035,7.083999872207642,22995,6.443000078201294,-13.590666966764198,-13.740715732613099
8,1,500,24531,8.690000057220459,16500,14.835000038146973,16511,15.3989999294281,-32.73816803228568,-32.69332681097387
8,1,1000,22058,10.01799988746643,8852,16.616999864578247,8864,27.663000106811523,-59.86943512557802,-59.81503309456886
8,1,2000,18701,17.01699995994568,1086,74.80000019073486,1067,53.40700006484985,-94.19282391315973,-94.29442275814127
8,1,3000,16292,14.030999898910522,0,65.77999997138977,0,61.33800005912781,-100.0,-100.0
8,1,4000,14330,13.04099988937378,0,66.06599998474121,0,41.40299987792969,-100.0,-100.0
8,1,5000,12683,16.901999950408936,0,26.44600009918213,0,33.801000118255615,-100.0,-100.0
8,1,7500,9456,19.83899998664856,0,32.64199995994568,0,26.854000091552734,-100.0,-100.0
8,1,10000,7041,18.892000198364258,0,14.8510000705719,0,21.82200002670288,-100.0,-100.0
8,1,15000,3703,27.192000150680542,0,2.191999912261963,0,1.9539999961853027,-100.0,-100.0
8,1,20000,1608,29.153000116348267,0,2.0220000743865967,0,2.069999933242798,-100.0,-100.0
