id,k,B_U,Opt_U,Opt_T_U,ObjVal_dt_U,dt_T_U,ObjVal_rf_U,rf_T_U,Gap_dt_U,Gap_rf_U
6,1,1,13386,37.0,13444,0.91,13442,0.6,0.43328851038398325,0.41834752726729424
6,1,10,12989,3.08,13297,1.11,13348,0.57,2.3712372007082916,2.7638771267995996
6,1,50,11549,4.55,12782,1.9,12887,0.5,10.676249025889687,11.585418650965451
6,1,100,10056,5.66,12123,0.88,12205,0.51,20.55489260143198,21.3703261734288
6,1,500,2912,13.12,7458,0.88,6974,0.42,156.11263736263737,139.49175824175825
6,1,1000,,25.67,4608,0.68,0,0.12,,
6,1,2000,,22.81,0,0.47,0,0.12,,
6,1,2500,,23.53,0,0.38,0,0.16,,
6,1,3000,,22.8,0,0.25,0,0.15,,
7,1,1,29104,146.08,29153,2.65,29152,1.49,0.1683617372182518,0.16492578339747113
7,1,10,28681,4.45,29094,3.27,29076,1.29,1.4399776855758166,1.377218367560406
7,1,50,27182,9.51,28763,2.81,28671,1.48,5.816349054521375,5.477889780001472
7,1,100,25631,11.93,28387,3.09,28212,1.42,10.752604268268893,10.069837306386798
7,1,500,16409,20.6,24746,2.66,24073,1.39,50.807483697970625,46.70607593393869
7,1,1000,8781,28.67,18572,2.06,18386,1.25,111.50210682154653,109.38389705044985
7,1,2000,1059,110.2,11748,1.81,6781,0.64,1009.3484419263456,540.3210576015109
7,1,2500,,93.43,8603,1.71,0,0.33,,
7,1,3000,,122.28,6430,1.45,0,0.32,,
8,1,1,29104,124.88,29153,2.67,29152,1.44,0.1683617372182518,0.16492578339747113
8,1,10,28681,8.31,29094,2.77,29076,1.5,1.4399776855758166,1.377218367560406
8,1,50,27182,10.49,28763,3.34,28671,1.49,5.816349054521375,5.477889780001472
8,1,100,25631,15.32,28387,2.47,28212,1.43,10.752604268268893,10.069837306386798
8,1,500,16409,31.2,24746,2.59,24073,1.16,50.807483697970625,46.70607593393869
8,1,1000,8781,55.55,18572,2.63,18386,1.06,111.50210682154653,109.38389705044985
8,1,2000,1059,107.56,11748,1.4,6781,0.65,1009.3484419263456,540.3210576015109
8,1,2500,,117.72,8603,1.0,0,0.3,,
8,1,3000,,108.67,6430,1.24,0,0.3,,
